split,text,answer,domain,task
test,"The same system used in a validation mode , can be used to check and spot alignment errors in multilingually aligned wordnets as [[ BalkaNet ]] and << EuroWordNet >> .",CONJUNCTION,science,scierc_relation
test,"These [[ words ]] appear frequently enough in << dialog >> to warrant serious attention , yet present natural language search engines perform poorly on queries containing them .",PART-OF,science,scierc_relation
test,We analyze a reweighted version of the Kikuchi approximation for estimating the [[ log partition function of a product distribution ]] defined over a << region graph >> .,FEATURE-OF,science,scierc_relation
test,"To this end , we propose to efficiently locate object regions according to [[ pixelwise object probability ]] , rather than measuring the << objectness >> from a set of sampled windows .",COMPARE,science,scierc_relation
test,"This method requires a [[ source-language dependency parser ]] , << target language word segmentation >> and an unsupervised word alignment component .",CONJUNCTION,science,scierc_relation
test,The result shows that our [[ system ]] outperforms the << baseline system >> based on the IBM models in both translation speed and quality .,COMPARE,science,scierc_relation
test,"The model is adapted to an [[ online left to right chart-parser ]] for << word lattices >> , integrating acoustic , n-gram , and parser probabilities .",USED-FOR,science,scierc_relation
test,This paper describes the framework of a << Korean phonological knowledge base system >> using the [[ unification-based grammar formalism ]] : Korean Phonology Structure Grammar -LRB- KPSG -RRB- .,USED-FOR,science,scierc_relation
test,"This research is part of a larger study of [[ anaphoric expressions ]] , the results of which will be incorporated into a << natural language generation system >> .",USED-FOR,science,scierc_relation
test,We describe a new method for the representation of << NLP structures >> within [[ reranking approaches ]] .,FEATURE-OF,science,scierc_relation
test,"This report describes << Paul >> , a computer text generation system designed to create cohesive text through the use of [[ lexical substitutions ]] .",USED-FOR,science,scierc_relation
test,"The features of the [[ definition sentences ]] in the << dictionary >> , the mechanical extraction of the hierarchical relations and the estimation of the results are discussed .",PART-OF,science,scierc_relation
test,"Due to the capacity of pan-tilt-zoom -LRB- PTZ -RRB- cameras to simultaneously cover a panoramic area and maintain high resolution imagery , researches in << automated surveillance systems >> with multiple [[ PTZ cameras ]] have become increasingly important .",FEATURE-OF,science,scierc_relation
test,"We show that intrinsic image methods can be used to refine an initial , low-frequency shading estimate based on a << global lighting reconstruction >> from an original [[ texture and coarse scene geometry ]] in order to resolve the inherent global ambiguity in shading .",FEATURE-OF,science,scierc_relation
test,"We present a << syntax-based constraint >> for word alignment , known as the [[ cohesion constraint ]] .",HYPONYM-OF,science,scierc_relation
test,This work presents an automated technique for detecting reflections in image sequences by analyzing << motion trajectories >> of [[ feature points ]] .,FEATURE-OF,science,scierc_relation
test,"When used as pre-training for action recognition , << our method >> gives significant gains over learning without external data on [[ benchmark datasets ]] like UCF101 and HMDB51 .",EVALUATE-FOR,science,scierc_relation
test,"A '' graphics for vision '' approach is proposed to address the problem of reconstruction from a large and imperfect data set : << reconstruction >> on demand by tensor voting , or [[ ROD-TV ]] .",USED-FOR,science,scierc_relation
test,"In a motorized vehicle a number of easily measurable signals with [[ frequency components ]] related to the << rotational speed of the engine >> can be found , e.g. , vibrations , electrical system voltage level , and ambient sound .",FEATURE-OF,science,scierc_relation
test,Experiments are done on a ` flat ' list of terms obtained from an originally << hierarchically-structured terminology >> : the French version of the [[ US National Library of Medicine MeSH thesaurus ]] .,HYPONYM-OF,science,scierc_relation
test,"Given two times observations , we formulate fine-grained change detection as a joint optimization problem of three related factors , i.e. , [[ normal-aware lighting difference ]] , << camera geometry correction flow >> , and real scene change mask .",CONJUNCTION,science,scierc_relation
test,[[ Image matching ]] is a fundamental problem in << Computer Vision >> .,HYPONYM-OF,science,scierc_relation
test,"We show how [[ this ]] can efficiently be combined with << random-projection based methods >> for 2 NN search , such as locality-sensitive hashing -LRB- LSH -RRB- or random projection trees .",CONJUNCTION,science,scierc_relation
test,"In real-world action recognition problems , low-level features can not adequately characterize the [[ rich spatial-temporal structures ]] in << action videos >> .",FEATURE-OF,science,scierc_relation
test,"A larger model trained after the deadline achieves 80.5 % macro-average F1 , 87.6 % [[ syntactic dependencies LAS ]] , and 73.1 % << semantic dependencies F1 >> .",CONJUNCTION,science,scierc_relation
test,This paper shows how << dictionary word sense definitions >> can be analysed by applying a [[ hierarchy of phrasal patterns ]] .,USED-FOR,science,scierc_relation
test,"To advance research on animated GIF understanding , we collected a new dataset , Tumblr GIF -LRB- TGIF -RRB- , with 100K << animated GIFs >> from Tumblr and 120K [[ natural language descriptions ]] obtained via crowdsourcing .",CONJUNCTION,science,scierc_relation
test,We propose a novel << metric learning formulation >> called [[ Weighted Approximate Rank Component Analysis -LRB- WARCA -RRB- ]] .,HYPONYM-OF,science,scierc_relation
test,Using our [[ approach ]] we are able to intelligently segment scenes with objects of greater complexity than previous << physics-based segmentation algorithms >> .,COMPARE,science,scierc_relation
test,We present a single-image highlight removal method that incorporates [[ illumination-based constraints ]] into << image in-painting >> .,PART-OF,science,scierc_relation
test,[[ Background maintenance ]] is a frequent element of << video surveillance systems >> .,PART-OF,science,scierc_relation
test,Some of the principles which are relevant to the topic of this paper are : -LRB- a -RRB- [[ Multiple Layer of Grammars ]] -LRB- b -RRB- << Multiple Layer Presentation >> -LRB- c -RRB- Lexicon Driven Processing -LRB- d -RRB- Form-Oriented Dictionary Description .,CONJUNCTION,science,scierc_relation
test,"We evaluated the << topic signatures >> on a [[ WSD task ]] , where we trained a second-order vector cooccurrence algorithm on standard WSD datasets , with promising results .",EVALUATE-FOR,science,scierc_relation
test,Our numerical hybrid local and global mode-seeking tracker is validated on challenging << airborne videos >> with heavy occlusion and large [[ camera motions ]] .,FEATURE-OF,science,scierc_relation
test,"The information gained from corpus research and the analyses that are proposed are realized in the framework of [[ SILVA ]] , a << parsing and extraction tool >> for German text corpora .",HYPONYM-OF,science,scierc_relation
test,Our << system >> outperforms the average system in categorization task but does a common job in [[ adhoc task ]] .,EVALUATE-FOR,science,scierc_relation
test,"While such decoding is an essential underpinning , much recent work suggests that natural language interfaces will never appear cooperative or graceful unless they also incorporate numerous << non-literal aspects of communication >> , such as [[ robust communication procedures ]] .",HYPONYM-OF,science,scierc_relation
test,The recognizer uses a << time-synchronous graph-search strategy >> which is shown to still be viable with a 20k-word vocabulary when used with [[ bigram back-off language models ]] .,CONJUNCTION,science,scierc_relation
test,Numerical tests on large-scale logistic regression problems reveal that our [[ method ]] is more robust and substantially outperforms current << state-of-the-art methods >> .,COMPARE,science,scierc_relation
test,"In this paper , we present a << corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system >> for Dutch which combines statistical classification -LRB- [[ maximum entropy ]] -RRB- with linguistic information .",PART-OF,science,scierc_relation
test,Numerical tests on [[ large-scale logistic regression problems ]] reveal that our method is more robust and substantially outperforms current << state-of-the-art methods >> .,EVALUATE-FOR,science,scierc_relation
test,"b -RRB- The UV procedure is based on three different << confidence tests >> , two based on acoustic measures and [[ one ]] founded on linguistic information , applied in a hierarchical structure .",HYPONYM-OF,science,scierc_relation
test,Test performance data will show that a [[ PCFG ]] yields good results in << morphological parsing >> .,USED-FOR,science,scierc_relation
test,"For our purposes , a hub is a [[ node ]] in a << graph >> with in-degree greater than one and out-degree greater than one .",PART-OF,science,scierc_relation
test,"The experimental results show that the proposed histogram-based interest point detectors perform particularly well for the tasks of matching textured scenes under blur and illumination changes , in terms of [[ repeatability ]] and << distinctiveness >> .",CONJUNCTION,science,scierc_relation
test,"We attack an inexplicably under-explored language genre of spoken language -- lyrics in music -- via completely unsuper-vised induction of an << SMT-style stochastic transduction grammar >> for [[ hip hop lyrics ]] , yielding a fully-automatically learned challenge-response system that produces rhyming lyrics given an input .",FEATURE-OF,science,scierc_relation
test,The << system >> is implemented in CommonLisp and has been tested on examples from [[ German derivation ]] .,EVALUATE-FOR,science,scierc_relation
test,"<< Automatic evaluation metrics >> for Machine Translation -LRB- MT -RRB- systems , such as [[ BLEU ]] or NIST , are now well established .",HYPONYM-OF,science,scierc_relation
test,"The [[ model ]] is embodied in a << program >> , APT , that can reproduce segments of actual tape-recorded descriptions , using organizational and discourse strategies derived through analysis of our corpus .",PART-OF,science,scierc_relation
test,"Specifically , weights are estimated so that [[ evaluation measures ]] of << ASR >> and IR are equivalent .",EVALUATE-FOR,science,scierc_relation
test,"The agreement in question involves number in [[ nouns ]] and << reflexive pronouns >> and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .",CONJUNCTION,science,scierc_relation
test,"Since wordbreaks are not conventionally marked in Chinese text corpora , a << character-based collocation system >> has the dual advantages of avoiding pre-processing distortion and directly [[ accessing sub-lexical information ]] .",FEATURE-OF,science,scierc_relation
test,"Online action detection goes one step further and is more challenging , which identifies the [[ action type ]] and localizes the << action positions >> on the fly from the untrimmed stream .",CONJUNCTION,science,scierc_relation
test,The feature functions are trained off-line on different types of text and their log-linear combination is then used to retrieve the best M [[ translation paths ]] in the << graph >> .,PART-OF,science,scierc_relation
test,"We evaluate our approach on several standard << datasets >> such as im2gps , San Francisco and [[ MediaEval2010 ]] , and obtain state-of-the-art results .",HYPONYM-OF,science,scierc_relation
test,We compare our results to << state of the art methods >> such as mi-cro phase shifting and [[ modulated phase shifting ]] .,HYPONYM-OF,science,scierc_relation
test,The hypothesis under examination is that [[ useful terms ]] tend to be more similar to each other than to other << query terms >> .,COMPARE,science,scierc_relation
test,Experiments are described and powerful [[ training techniques ]] are demonstrated that permit << decision-making >> by the connectionist component in the parsing process .,USED-FOR,science,scierc_relation
test,"The classifier we use in both stages is based on a << boosted combination of Random Ferns >> over [[ local histograms of oriented gradients -LRB- HOGs -RRB- ]] , which we compute during a pre-processing step .",FEATURE-OF,science,scierc_relation
test,Experimental comparison with other << techniques >> shows the effectiveness of our [[ approach ]] .,COMPARE,science,scierc_relation
test,This paper presents necessary and sufficient conditions for the use of [[ demonstrative expressions ]] in << English >> and discusses implications for current discourse processing algorithms .,FEATURE-OF,science,scierc_relation
test,[[ Wallflower ]] is shown to outperform previous << algorithms >> by handling a greater set of the difficult situations that can occur .,COMPARE,science,scierc_relation
test,"Motivated by this [[ semantic criterion ]] we analyze the empirical quality of << distributional word feature vectors >> and its impact on word similarity results , proposing an objective measure for evaluating feature vector quality .",EVALUATE-FOR,science,scierc_relation
test,"We describe << three techniques >> for making syntactic analysis more robust -- an agenda-based scheduling parser , a recovery technique for failed parses , and a new [[ technique ]] called terminal substring parsing .",HYPONYM-OF,science,scierc_relation
test,"The compact description of a video sequence through a single image map and a dominant motion has applications in several << domains >> , including video browsing and retrieval , [[ compression ]] , mosaicing , and visual summarization .",HYPONYM-OF,science,scierc_relation
test,"Sentence planning is a set of inter-related but distinct << tasks >> , one of which is [[ sentence scoping ]] , i.e. the choice of syntactic structure for elementary speech acts and the decision of how to combine them into one or more sentences .",PART-OF,science,scierc_relation
test,"When a constraint is amenable to short supports , the [[ short support set ]] can be exponentially smaller than the << full-length support set >> .",COMPARE,science,scierc_relation
test,"Unlike existing << interest point detectors >> , which measure [[ pixel-wise differences in image intensity ]] , our detectors incorporate histogram-based representations , and thus can find image regions that present a distinct distribution in the neighborhood .",EVALUATE-FOR,science,scierc_relation
test,The strong description and modeling properties of differential features make [[ them ]] useful tools that can be efficiently used as constraints for << 3 -- D reconstruction >> .,USED-FOR,science,scierc_relation
test,"The JAVELIN system integrates a flexible , << planning-based architecture >> with a variety of [[ language processing modules ]] to provide an open-domain question answering capability on free text .",CONJUNCTION,science,scierc_relation
test,"We describe two experiments : one which ignored word-sense distinctions , resulting in 6.3 % [[ accuracy ]] for << semantic classification >> of verbs based on -LRB- Levin , 1993 -RRB- ; and one which exploited word-sense distinctions , resulting in 97.9 % accuracy .",EVALUATE-FOR,science,scierc_relation
test,Our experiments demonstrate that the << induced model >> achieves significantly higher [[ accuracy ]] than a state-of-the-art coherence model .,EVALUATE-FOR,science,scierc_relation
test,"We evaluate our paraphrase extraction and ranking methods using a set of manual word alignments , and contrast the quality with [[ paraphrases ]] extracted from << automatic alignments >> .",PART-OF,science,scierc_relation
test,"This paper describes three relatively << domain-independent capabilities >> recently added to the Paramax spoken language understanding system : non-monotonic reasoning , [[ implicit reference resolution ]] , and database query paraphrase .",HYPONYM-OF,science,scierc_relation
test,"The paper provides an overview of the research conducted at LIMSI in the field of speech processing , but also in the related areas of << Human-Machine Communication >> , including Natural Language Processing , [[ Non Verbal and Multimodal Communication ]] .",HYPONYM-OF,science,scierc_relation
test,The algorithm utilizes both spatial and temporal intensity variation as cues : the [[ former ]] constrains flow and the << latter >> constrains surface orientation ; combining both cues enables dense reconstruction of both textured and texture-less surfaces .,CONJUNCTION,science,scierc_relation
test,The problem of << blind separation of underdetermined instantaneous mixtures of independent signals >> is addressed through a [[ method ]] relying on nonstationarity of the original signals .,USED-FOR,science,scierc_relation
test,"We fit each incomplete scan using << template fitting techniques >> with a generic [[ human template ]] , and register all scans to every pose using global consistency constraints .",USED-FOR,science,scierc_relation
test,"In this paper , we present SPoT , a sentence planner , and a new [[ methodology ]] for automatically training << SPoT >> on the basis of feedback provided by human judges .",USED-FOR,science,scierc_relation
test,"The submitted << model >> yields 79.1 % [[ macro-average F1 performance ]] , for the joint task , 86.9 % syntactic dependencies LAS and 71.0 % semantic dependencies F1 .",EVALUATE-FOR,science,scierc_relation
test,"The demonstrator embodies an interesting combination of [[ hand-built , symbolic resources ]] and << stochastic processes >> .",CONJUNCTION,science,scierc_relation
test,"The << board >> plugs directly into the VME bus of the SUN4 , which controls the system and contains the natural language system and [[ application back end ]] .",PART-OF,science,scierc_relation
test,"By extensive experiments , we show that our [[ learned representation ]] can significantly boost several video recognition tasks -LRB- retrieval , classification , and highlight detection -RRB- over traditional << video representations >> .",COMPARE,science,scierc_relation
test,"However , our experience with TACITUS ; especially in the MUC-3 evaluation , has shown that principled [[ techniques ]] for << syntactic and pragmatic analysis >> can be bolstered with methods for achieving robustness .",USED-FOR,science,scierc_relation
