Model,Task,Mode,Accuracy,Precision,Recall,F1
qwen-3,eligibility_nli,sd,80.9%,91.4%,68.1%,78%
qwen-3,eligibility_nli,sd-no-comp,85.1%,78%,97.9%,86.8%
qwen-3,eligibility_nli,sd-direct,72.3%,88.9%,51.1%,64.9%
qwen-3,eligibility_nli,sd-direct-no-comp,71.3%,88.5%,48.9%,63%
gpt-5-mini,hearsay,few-shot,80.9%,84.8%,68.3%,75.7%
gpt-5-mini,hearsay,cot,72.3%,75.9%,53.7%,62.9%
gpt-5-mini,hearsay,sd,79.8%,76.2%,78%,77.1%
gpt-5-mini,hearsay,sd-no-comp,87.2%,80.9%,92.7%,86.4%
gpt-5-mini,hearsay,sd-direct,85.1%,77.6%,92.7%,84.4%
gpt-5-mini,hearsay,sd-direct-no-comp,83%,75.5%,90.2%,82.2%
gpt-5-mini,method_application,few-shot,93.6%,97.9%,90.4%,94%
gpt-5-mini,method_application,cot,87.2%,97.6%,78.8%,87.2%
gpt-5-mini,method_application,sd,81.9%,90.7%,75%,82.1%
gpt-5-mini,method_application,sd-no-comp,86.2%,88.2%,86.5%,87.4%
gpt-5-mini,method_application,sd-direct,89.4%,87.5%,94.2%,90.7%
gpt-5-mini,method_application,sd-direct-no-comp,90.4%,87.7%,96.2%,91.7%
gpt-5-mini,eligibility_nli,few-shot,73.4%,89.3%,53.2%,66.7%
gpt-5-mini,eligibility_nli,cot,73.4%,86.7%,55.3%,67.5%
gpt-5-mini,eligibility_nli,sd,74.5%,84.8%,59.6%,70%
gpt-5-mini,eligibility_nli,sd-no-comp,83%,87.8%,76.6%,81.8%
gpt-5-mini,eligibility_nli,sd-direct,71.3%,88.5%,48.9%,63%
gpt-5-mini,eligibility_nli,sd-direct-no-comp,70.2%,85.2%,48.9%,62.2%
kimi-k2,hearsay,few-shot,77.7%,68.5%,90.2%,77.9%
kimi-k2,hearsay,cot,87.2%,80.9%,92.7%,86.4%
kimi-k2,hearsay,sd,75.5%,65%,95.1%,77.2%
kimi-k2,hearsay,sd-no-comp,70.2%,59.7%,97.6%,74.1%
kimi-k2,hearsay,sd-direct,79.8%,72%,87.8%,79.1%
kimi-k2,hearsay,sd-direct-no-comp,76.6%,66.7%,92.7%,77.6%
kimi-k2,method_application,few-shot,77.7%,76.3%,86.5%,81.1%
kimi-k2,method_application,cot,78.7%,94.4%,65.4%,77.3%
kimi-k2,method_application,sd,72.3%,69.1%,90.4%,78.3%
kimi-k2,method_application,sd-no-comp,79.8%,75.4%,94.2%,83.8%
kimi-k2,method_application,sd-direct,78.7%,75.8%,90.4%,82.5%
kimi-k2,method_application,sd-direct-no-comp,78.7%,78.6%,84.6%,81.5%
kimi-k2,eligibility_nli,few-shot,79.8%,86.8%,70.2%,77.6%
kimi-k2,eligibility_nli,cot,74.5%,89.7%,55.3%,68.4%
kimi-k2,eligibility_nli,sd,83%,83%,83%,83%
kimi-k2,eligibility_nli,sd-no-comp,81.9%,81.2%,83%,82.1%
kimi-k2,eligibility_nli,sd-direct,76.6%,85.7%,63.8%,73.2%
kimi-k2,eligibility_nli,sd-direct-no-comp,74.5%,81.1%,63.8%,71.4%
claude-haiku,hearsay,few-shot,77.7%,73.8%,75.6%,74.4%
claude-haiku,hearsay,cot,75.5%,64.1%,100%,78.1%
claude-haiku,hearsay,sd,69.1%,59.1%,95.1%,72.9%
claude-haiku,hearsay,sd-no-comp,59.6%,51.9%,100%,58.3%
claude-haiku,hearsay,sd-direct,69.1%,60%,87.8%,71.3%
claude-haiku,hearsay,sd-direct-no-comp,62.8%,54.2%,95.1%,69%
claude-haiku,method_application,few-shot,79.8%,78.9%,86.5%,82.6%
claude-haiku,method_application,cot,87.2%,91.7%,84.6%,88%
claude-haiku,method_application,sd,76.6%,72.7%,92.3%,81.4%
claude-haiku,method_application,sd-no-comp,68.1%,64.1%,96.2%,76.9%
claude-haiku,method_application,sd-direct,78.7%,78.6%,84.6%,81.5%
claude-haiku,method_application,sd-direct-no-comp,76.6%,77.8%,80.8%,79.2%
claude-haiku,eligibility_nli,few-shot,70.2%,85.2%,48.9%,62.2%
claude-haiku,eligibility_nli,cot,67%,83.3%,42.6%,56.3%
claude-haiku,eligibility_nli,sd,70.2%,85.2%,48.9%,62.2%
claude-haiku,eligibility_nli,sd-no-comp,72.3%,86.2%,53.2%,65.8%
claude-haiku,eligibility_nli,sd-direct,60.6%,81.2%,27.7%,41.3%
claude-haiku,eligibility_nli,sd-direct-no-comp,61.7%,76.2%,34%,47.1%
claude-sonnet,hearsay,few-shot,78.7%,92%,56.1%,69.7%
claude-sonnet,hearsay,cot,74.5%,64.4%,92.7%,76%
claude-sonnet,hearsay,sd,76.6%,68.6%,85.4%,76.1%
claude-sonnet,hearsay,sd-no-comp,74.5%,63.5%,97.6%,76.9%
claude-sonnet,hearsay,sd-direct,81.9%,81.6%,75.6%,78.5%
claude-sonnet,hearsay,sd-direct-no-comp,81.9%,78.6%,80.5%,79.5%
claude-sonnet,method_application,few-shot,77.7%,97%,61.5%,75.3%
claude-sonnet,method_application,cot,74.5%,93.8%,57.7%,71.4%
claude-sonnet,method_application,sd,87.2%,93.5%,82.7%,87.8%
claude-sonnet,method_application,sd-no-comp,93.6%,91.1%,98.1%,94.4%
claude-sonnet,method_application,sd-direct,76.6%,82.6%,73.1%,77.6%
claude-sonnet,method_application,sd-direct-no-comp,60.6%,85.7%,34.6%,49.3%
claude-sonnet,eligibility_nli,few-shot,75.5%,90%,57.4%,70.1%
claude-sonnet,eligibility_nli,cot,63.8%,74.1%,42.6%,54.1%
claude-sonnet,eligibility_nli,sd,67%,86.4%,40.4%,55.1%
claude-sonnet,eligibility_nli,sd-no-comp,78.7%,86.5%,68.1%,76.2%
claude-sonnet,eligibility_nli,sd-direct,57.4%,63%,36.2%,45.9%
claude-sonnet,eligibility_nli,sd-direct-no-comp,52.1%,54.2%,27.7%,36.6%
deepseek-v3.2,hearsay,few-shot,80.9%,79.5%,75.6%,77.5%
deepseek-v3.2,hearsay,cot,81.9%,78.6%,80.5%,79.5%
deepseek-v3.2,hearsay,sd,73.4%,83.3%,48.8%,61.5%
deepseek-v3.2,hearsay,sd-no-comp,76.6%,66.7%,92.7%,77.6%
deepseek-v3.2,hearsay,sd-direct,63.8%,100%,17.1%,29.2%
deepseek-v3.2,hearsay,sd-direct-no-comp,70.2%,100%,31.7%,48.1%
deepseek-v3.2,method_application,few-shot,84%,100%,71.2%,83.1%
deepseek-v3.2,method_application,cot,81.9%,100%,67.3%,80.5%
deepseek-v3.2,method_application,sd,90.4%,87.7%,96.2%,91.7%
deepseek-v3.2,method_application,sd-no-comp,92.6%,92.5%,94.2%,93.3%
deepseek-v3.2,method_application,sd-direct,89.4%,92%,88.5%,90.2%
deepseek-v3.2,method_application,sd-direct-no-comp,71.3%,96.3%,50%,65.8%
deepseek-v3.2,eligibility_nli,few-shot,70.2%,85.2%,48.9%,62.2%
deepseek-v3.2,eligibility_nli,cot,69.1%,87.5%,44.7%,59.2%
deepseek-v3.2,eligibility_nli,sd,60.6%,91.7%,23.4%,37.3%
deepseek-v3.2,eligibility_nli,sd-no-comp,68.1%,90.5%,40.4%,55.9%
deepseek-v3.2,eligibility_nli,sd-direct,52.1%,100%,4.3%,8.2%
deepseek-v3.2,eligibility_nli,sd-direct-no-comp,52.1%,100%,4.3%,8.2%
gemini-2.5-pro,hearsay,few-shot,80.9%,87.1%,65.9%,75%
gemini-2.5-pro,hearsay,cot,88.3%,89.5%,82.9%,86.1%
gemini-2.5-pro,hearsay,sd,74.5%,68.1%,78%,72.7%
gemini-2.5-pro,hearsay,sd-no-comp,79.8%,72%,87.8%,79.1%
gemini-2.5-pro,hearsay,sd-direct,85.1%,77.6%,92.7%,84.4%
gemini-2.5-pro,hearsay,sd-direct-no-comp,88.3%,82.6%,92.7%,87.4%
gemini-2.5-pro,method_application,few-shot,78.7%,100%,61.5%,76.2%
gemini-2.5-pro,method_application,cot,81.9%,100%,67.3%,80.5%
gemini-2.5-pro,method_application,sd,90.4%,89.1%,94.2%,91.6%
gemini-2.5-pro,method_application,sd-no-comp,89.4%,87.5%,94.2%,90.7%
gemini-2.5-pro,method_application,sd-direct,81.9%,79.7%,90.4%,84.7%
gemini-2.5-pro,method_application,sd-direct-no-comp,68.1%,64.9%,92.3%,76.2%
gemini-2.5-pro,eligibility_nli,few-shot,77.7%,88.2%,63.8%,74.1%
gemini-2.5-pro,eligibility_nli,cot,81.9%,91.7%,70.2%,79.5%
gemini-2.5-pro,eligibility_nli,sd,76.6%,90.3%,59.6%,71.8%
gemini-2.5-pro,eligibility_nli,sd-no-comp,81.9%,87.5%,74.5%,80.5%
gemini-2.5-pro,eligibility_nli,sd-direct,70.2%,71.1%,68.1%,69.6%
gemini-2.5-pro,eligibility_nli,sd-direct-no-comp,69.1%,68%,72.3%,70.1%
gpt-5-nano,hearsay,few-shot,59.6%,54.8%,41.5%,47.2%
gpt-5-nano,hearsay,cot,63.8%,62.1%,43.9%,51.4%
gpt-5-nano,hearsay,sd,75.5%,90.9%,48.8%,63.5%
gpt-5-nano,hearsay,sd-no-comp,75.5%,82.1%,56.1%,66.7%
gpt-5-nano,hearsay,sd-direct,68.1%,59%,87.8%,70.6%
gpt-5-nano,hearsay,sd-direct-no-comp,69.1%,59.4%,92.7%,72.4%
gpt-5-nano,method_application,few-shot,73.4%,74.5%,78.8%,76.6%
gpt-5-nano,method_application,cot,71.3%,71.9%,78.8%,75.2%
gpt-5-nano,method_application,sd,79.8%,85.1%,76.9%,80.8%
gpt-5-nano,method_application,sd-no-comp,89.4%,87.5%,94.2%,90.7%
gpt-5-nano,method_application,sd-direct,85.1%,79.7%,98.1%,87.9%
gpt-5-nano,method_application,sd-direct-no-comp,86.2%,82%,96.2%,88.5%
gpt-5-nano,eligibility_nli,few-shot,73.4%,89.3%,53.2%,66.7%
gpt-5-nano,eligibility_nli,cot,69.1%,87.5%,44.7%,59.2%
gpt-5-nano,eligibility_nli,sd,71.3%,85.7%,51.1%,64%
gpt-5-nano,eligibility_nli,sd-no-comp,73.4%,86.7%,55.3%,67.5%
gpt-5-nano,eligibility_nli,sd-direct,69.1%,87.5%,44.7%,59.2%
gpt-5-nano,eligibility_nli,sd-direct-no-comp,68.1%,84%,44.7%,58.3%
gpt-5.2,hearsay,few-shot,83%,76.6%,87.8%,81.8%
gpt-5.2,hearsay,cot,75.5%,65%,95.1%,77.2%
gpt-5.2,hearsay,sd,86.2%,81.8%,87.8%,84.7%
gpt-5.2,hearsay,sd-no-comp,85.1%,76.5%,95.1%,84.8%
gpt-5.2,hearsay,sd-direct,90.4%,84.8%,95.1%,89.7%
gpt-5.2,hearsay,sd-direct-no-comp,79.8%,75%,80.5%,77.6%
gpt-5.2,method_application,few-shot,75.5%,93.9%,59.6%,72.9%
gpt-5.2,method_application,cot,74.5%,96.7%,55.8%,70.7%
gpt-5.2,method_application,sd,93.6%,92.6%,96.2%,94.3%
gpt-5.2,method_application,sd-no-comp,92.6%,90.9%,96.2%,93.5%
gpt-5.2,method_application,sd-direct,93.6%,94.2%,94.2%,94.2%
gpt-5.2,method_application,sd-direct-no-comp,81.9%,77.8%,94.2%,85.2%
gpt-5.2,eligibility_nli,few-shot,83%,91.9%,72.3%,81%
gpt-5.2,eligibility_nli,cot,79.8%,91.2%,66%,76.5%
gpt-5.2,eligibility_nli,sd,64.9%,85%,36.2%,50.7%
gpt-5.2,eligibility_nli,sd-no-comp,78.7%,84.6%,70.2%,76.7%
gpt-5.2,eligibility_nli,sd-direct,67%,83.3%,42.6%,56.3%
gpt-5.2,eligibility_nli,sd-direct-no-comp,71.3%,95.5%,44.7%,60.9%
o3,hearsay,few-shot,76.6%,85.2%,56.1%,67.6%
o3,hearsay,cot,78.7%,86.2%,61%,71.4%
o3,hearsay,sd,80.9%,75.6%,82.9%,79.1%
o3,hearsay,sd-no-comp,85.1%,76.5%,95.1%,84.8%
o3,hearsay,sd-direct,86.2%,80.4%,90.2%,85.1%
o3,hearsay,sd-direct-no-comp,89.4%,83%,95.1%,88.6%
o3,method_application,few-shot,91.5%,97.8%,86.5%,91.8%
o3,method_application,cot,90.4%,100%,92.7%,90.5%
o3,method_application,sd,94.7%,94.3%,96.2%,95.2%
o3,method_application,sd-no-comp,92.6%,92.5%,94.2%,93.3%
o3,method_application,sd-direct,94.7%,96.1%,94.2%,95.1%
o3,method_application,sd-direct-no-comp,91.5%,94%,90.4%,92.2%
o3,eligibility_nli,few-shot,71.3%,85.7%,51.1%,64%
o3,eligibility_nli,cot,71.3%,88.5%,48.9%,63%
o3,eligibility_nli,sd,73.4%,89.3%,53.2%,66.7%
o3,eligibility_nli,sd-no-comp,79.8%,93.8%,63.8%,75.9%
o3,eligibility_nli,sd-direct,70.2%,68.6%,74.5%,71.4%
o3,eligibility_nli,sd-direct-no-comp,63.8%,65.1%,59.6%,62.2%
